aX,aY,aZ,gX,gY,gZ
-0.124,-0.814,0.380,-33.264,57.190,10.010
-0.107,-0.858,0.335,-18.616,53.345,9.277
-0.088,-0.894,0.251,-9.888,53.406,8.789
-0.132,-0.870,0.213,-5.005,52.368,8.667
-0.081,-0.899,0.176,0.244,45.959,11.658
-0.129,-0.956,0.102,3.784,34.424,15.686
-0.193,-0.951,-0.001,3.235,30.884,18.738
-0.196,-0.919,0.022,-2.380,36.865,19.775
-0.126,-0.972,0.016,-2.930,41.260,20.935
-0.112,-0.913,-0.064,0.427,38.269,16.052
-0.053,-1.034,0.061,3.235,34.058,15.259
-0.038,-1.027,0.033,5.920,20.325,13.000
-0.040,-1.004,0.084,9.277,6.226,17.456
-0.037,-1.023,0.042,10.498,-7.446,22.644
-0.135,-1.029,-0.026,14.282,-14.038,20.691
-0.199,-1.056,-0.063,14.099,-10.803,17.639
-0.174,-1.048,-0.050,8.911,-1.282,13.123
-0.161,-1.051,-0.042,6.042,8.484,8.484
-0.153,-1.056,-0.042,3.601,15.381,4.272
-0.139,-1.054,-0.038,0.610,18.677,1.709
-0.133,-1.058,-0.010,-0.244,19.165,1.282
-0.134,-1.049,0.009,-2.686,17.639,1.221
-0.142,-1.027,0.028,-3.601,16.296,2.258
-0.146,-1.021,0.043,-2.075,14.465,3.784
-0.149,-1.018,0.042,-0.244,12.512,6.714
-0.137,-1.010,0.021,0.000,11.292,9.033
-0.141,-1.020,-0.004,0.122,11.230,10.620
-0.141,-1.024,-0.021,-0.244,10.864,13.367
-0.126,-1.012,-0.019,-2.930,8.606,15.869
-0.114,-1.010,-0.012,-3.967,6.897,18.494
-0.099,-1.013,-0.002,-4.944,5.981,19.104
-0.087,-1.012,0.012,-5.127,7.812,17.517
-0.075,-1.013,0.028,-5.615,10.986,14.648
-0.062,-1.008,0.039,-6.653,14.282,11.108
-0.048,-1.003,0.054,-5.676,17.029,7.202
-0.041,-1.004,0.065,-3.967,15.991,4.089
-0.045,-1.001,0.076,-1.404,12.939,3.662
-0.061,-1.000,0.073,0.610,7.812,3.906
-0.076,-0.998,0.049,2.563,3.906,5.554
-0.085,-0.997,0.035,2.991,1.038,7.080
-0.086,-0.997,0.022,2.563,0.183,7.690
-0.083,-1.002,0.010,2.747,0.916,7.751
-0.071,-1.011,0.008,2.319,1.709,6.775
-0.057,-1.019,0.010,1.953,2.991,5.798
-0.060,-1.021,0.013,0.610,3.479,4.028
-0.059,-1.021,0.025,0.061,4.517,2.747
-0.061,-1.020,0.036,-0.977,4.272,1.709
-0.062,-1.009,0.039,-1.770,3.479,1.892
-0.057,-1.012,0.053,-2.075,2.441,2.441
-0.061,-1.009,0.056,-1.953,1.404,2.136
-0.061,-1.005,0.054,-1.160,1.648,2.380
-0.061,-1.001,0.050,-0.671,1.587,1.648
-0.065,-1.010,0.042,0.610,2.625,0.854
-0.078,-1.014,0.039,0.549,2.319,0.610
-0.080,-1.012,0.042,-0.061,1.221,2.197
-0.067,-1.016,0.055,-0.854,-1.648,4.578
-0.059,-1.023,0.054,-1.648,-5.432,7.507
-0.043,-1.041,0.034,-2.808,-10.498,11.780
-0.018,-1.067,-0.006,-6.958,-20.996,17.639
0.018,-1.088,-0.053,-13.733,-39.490,28.442
0.083,-1.114,-0.047,-24.048,-69.092,42.542
0.190,-1.124,0.066,-35.645,-109.131,59.082
0.376,-1.041,0.241,-47.607,-162.170,79.834
0.622,-0.842,0.472,-52.612,-227.112,102.234
0.820,-0.848,0.670,-27.222,-304.504,119.995
0.862,-1.005,0.779,11.963,-393.311,137.878
0.778,-1.069,0.748,37.537,-484.497,160.095
0.647,-1.078,0.559,57.678,-571.167,185.059
0.539,-1.045,0.290,74.280,-638.794,206.360
0.476,-1.015,0.011,83.801,-688.171,221.191
0.548,-1.093,-0.153,90.515,-716.553,229.126
0.661,-1.049,-0.251,81.909,-723.633,228.088
0.743,-1.023,-0.327,63.171,-717.346,219.360
0.803,-0.974,-0.469,52.246,-701.843,204.651
0.689,-0.899,-0.575,51.147,-683.960,186.340
0.482,-0.882,-0.708,61.157,-657.349,173.645
0.400,-0.952,-0.806,60.486,-619.446,164.551
0.393,-0.995,-0.747,45.227,-555.481,147.156
0.244,-0.985,-0.476,28.259,-467.468,114.014
0.059,-0.905,-0.157,23.865,-359.375,73.914
-0.049,-0.869,0.072,38.696,-242.615,40.649
-0.048,-1.006,0.189,61.768,-135.376,18.555

1.084,-0.822,0.890,57.739,-331.970,110.413
0.971,-0.874,0.822,100.952,-393.433,105.591
0.811,-0.787,0.648,131.042,-452.454,102.478
0.632,-0.751,0.462,159.302,-507.935,101.440
0.516,-0.831,0.188,187.317,-557.495,101.929
0.459,-0.960,-0.044,202.271,-596.130,110.596
0.460,-0.901,-0.270,194.824,-621.338,123.352
0.526,-0.920,-0.515,180.542,-627.502,132.263
0.556,-1.016,-0.773,171.204,-614.868,130.371
0.511,-1.063,-0.902,144.226,-589.050,121.155
0.447,-1.027,-0.850,114.319,-559.143,107.849
0.406,-1.010,-0.767,91.431,-526.794,90.271
