aX,aY,aZ,gX,gY,gZ
-0.024,-1.020,-0.180,8.118,0.183,-1.038
-0.027,-1.024,-0.185,5.005,0.610,-1.648
-0.029,-1.019,-0.193,1.770,1.221,-2.747
-0.028,-1.011,-0.199,0.061,1.404,-3.662
-0.026,-1.009,-0.203,0.854,1.770,-4.272
-0.022,-1.016,-0.210,3.113,1.587,-4.395
-0.024,-1.030,-0.207,4.883,1.160,-4.395
-0.033,-1.044,-0.195,5.249,0.427,-4.456
-0.039,-1.054,-0.183,4.700,0.061,-4.395
-0.047,-1.056,-0.180,2.563,0.488,-4.578
-0.050,-1.053,-0.179,0.122,0.549,-4.517
-0.051,-1.047,-0.182,-0.854,0.427,-4.211
-0.050,-1.041,-0.182,-0.549,0.427,-3.601
-0.049,-1.040,-0.180,0.122,0.488,-2.808
-0.050,-1.033,-0.174,1.038,0.305,-2.075
-0.049,-1.029,-0.168,2.136,0.732,-1.038
-0.046,-1.034,-0.164,3.052,1.221,-0.305
-0.049,-1.036,-0.155,2.625,1.648,-0.061
-0.050,-1.026,-0.153,0.854,2.319,0.183
-0.046,-1.012,-0.161,-1.038,3.052,0.305
-0.044,-1.001,-0.169,-1.282,2.991,0.244
-0.039,-1.001,-0.175,-0.366,2.625,0.488
-0.040,-1.002,-0.173,0.610,1.648,0.916

-0.503,-2.640,0.017,-108.948,8.850,-104.126
-0.585,-2.963,0.065,-132.202,11.841,-111.084
-0.632,-3.282,0.123,-152.100,16.907,-111.633
-0.659,-3.572,0.172,-167.175,24.597,-102.722
-0.579,-3.845,0.191,-174.500,34.851,-78.674
-0.534,-3.876,0.155,-174.683,45.837,-36.560
-0.557,-3.644,0.158,-167.786,56.396,20.752
-0.565,-3.145,0.118,-148.193,67.139,85.815
-0.541,-2.584,0.048,-108.582,75.317,144.653
-0.480,-2.093,-0.007,-58.167,75.745,189.514
-0.411,-1.642,-0.067,-12.268,68.359,221.375
-0.450,-1.191,-0.172,24.841,57.068,245.850
-0.444,-0.697,-0.226,44.800,45.898,271.667
-0.368,-0.092,-0.296,34.302,31.616,284.729
-0.635,0.711,-0.202,-5.310,18.494,272.461
-0.537,1.375,-0.161,-37.170,17.578,263.855
-0.345,1.908,-0.193,-46.387,26.367,244.507
-0.087,2.222,-0.152,-48.523,51.270,202.881
